taxi,uber
3.2848775,10.060929
4.046689,8.908483
5.061307,8.415836
6.2019715,8.58276
7.088401,9.408557
8.22853,10.0699835
9.368301,11.061079
10.001389,11.721577
11.0144,12.7124405
12.15435,13.538701
13.294122,14.529797
14.053255,15.849864
15.19258,17.253046
16.142748,17.749289
17.155312,19.152239
18.357927,20.637953
18.99164,20.72153
20.067764,21.95976
21.081043,22.703373
21.777512,23.363987
23.233202,25.26225
24.056252,26.087933
25.006506,26.501759
26.019785,27.24537
27.158665,29.060638
27.855936,28.979498
29.058998,30.053125
30.071117,31.86816
31.147686,32.694305
32.034027,33.60252
32.9201,34.757984
34.124146,34.925026
35.07324,36.410275
36.024834,35.587845
37.036507,37.814964
38.114414,37.404854
39.191967,37.32441
39.95101,38.726894
40.965004,38.81117
41.97793,39.88445
43.181973,40.051487
44.00725,38.81674
44.894573,38.818363
46.03301,41.04572
46.920063,41.294594
47.936287,39.31844
49.198177,44.59546
50.026134,40.888195
50.974785,42.785534
51.92245,45.58946
53.182915,52.18515
54.138348,47.818783
55.02567,47.820408
55.9171,44.030846
57.17729,50.87379
58.177628,63.56789
59.20608,50.300583
60.027435,52.692192
61.098022,59.040283
61.934643,47.33856
63.124134,60.939594
64.2066,56.326206
64.900566,59.294502
66.10113,62.67581
66.99988,52.12804
68.2565,62.26767
68.775055,51.636787
70.02945,63.83685
70.9822,61.942993
71.92621,68.12602
73.13561,63.348034
73.957855,64.91547
74.90919,64.34029
75.74197,56.1825
76.93672,64.92092
77.88439,67.724846
78.90142,65.00694
79.91836,62.37145
81.012695,46.796577
81.87395,70.86401
83.09148,58.586063
83.96844,68.14808
85.12794,50.92498
86.11712,73.92123
87.94032,87.60584
88.92638,54.970387
89.93135,63.378796
